year,fip,state,county,democrat,republican,other,total
2000,01001,AL,Autauga,0,0,0,0
2000,01003,AL,Baldwin,0,0,0,0
2000,01005,AL,Barbour,0,0,0,0
2000,01007,AL,Bibb,0,0,0,0
2000,01009,AL,Blount,0,0,0,0
2000,01011,AL,Bullock,0,0,0,0
2000,01013,AL,Butler,0,0,0,0
2000,01015,AL,Calhoun,0,0,0,0
2000,01017,AL,Chambers,0,0,0,0
2000,01019,AL,Cherokee,0,0,0,0
2000,01021,AL,Chilton,0,0,0,0
2000,01023,AL,Choctaw,0,0,0,0
2000,01025,AL,Clarke,0,0,0,0
2000,01027,AL,Clay,0,0,0,0
2000,01029,AL,Cleburne,0,0,0,0
2000,01031,AL,Coffee,0,0,0,0
2000,01033,AL,Colbert,0,0,0,0
2000,01035,AL,Conecuh,0,0,0,0
2000,01037,AL,Coosa,0,0,0,0
2000,01039,AL,Covington,0,0,0,0
2000,01041,AL,Crenshaw,0,0,0,0
2000,01043,AL,Cullman,0,0,0,0
2000,01045,AL,Dale,0,0,0,0
2000,01047,AL,Dallas,0,0,0,0
2000,01049,AL,DeKalb,0,0,0,0
2000,01051,AL,Elmore,0,0,0,0
2000,01053,AL,Escambia,0,0,0,0
2000,01055,AL,Etowah,0,0,0,0
2000,01057,AL,Fayette,0,0,0,0
2000,01059,AL,Franklin,0,0,0,0
2000,01061,AL,Geneva,0,0,0,0
2000,01063,AL,Greene,0,0,0,0
2000,01065,AL,Hale,0,0,0,0
2000,01067,AL,Henry,0,0,0,0
2000,01069,AL,Houston,0,0,0,0
2000,01071,AL,Jackson,0,0,0,0
2000,01073,AL,Jefferson,0,0,0,0
2000,01075,AL,Lamar,0,0,0,0
2000,01077,AL,Lauderdale,0,0,0,0
2000,01079,AL,Lawrence,0,0,0,0
2000,01081,AL,Lee,0,0,0,0
2000,01083,AL,Limestone,0,0,0,0
2000,01085,AL,Lowndes,0,0,0,0
2000,01087,AL,Macon,0,0,0,0
2000,01089,AL,Madison,0,0,0,0
2000,01091,AL,Marengo,0,0,0,0
2000,01093,AL,Marion,0,0,0,0
2000,01095,AL,Marshall,0,0,0,0
2000,01097,AL,Mobile,0,0,0,0
2000,01099,AL,Monroe,0,0,0,0
2000,01101,AL,Montgomery,0,0,0,0
2000,01103,AL,Morgan,0,0,0,0
2000,01105,AL,Perry,0,0,0,0
2000,01107,AL,Pickens,0,0,0,0
2000,01109,AL,Pike,0,0,0,0
2000,01111,AL,Randolph,0,0,0,0
2000,01113,AL,Russell,0,0,0,0
2000,01115,AL,St. Clair,0,0,0,0
2000,01117,AL,Shelby,0,0,0,0
2000,01119,AL,Sumter,0,0,0,0
2000,01121,AL,Talladega,0,0,0,0
2000,01123,AL,Tallapoosa,0,0,0,0
2000,01125,AL,Tuscaloosa,0,0,0,0
2000,01127,AL,Walker,0,0,0,0
2000,01129,AL,Washington,0,0,0,0
2000,01131,AL,Wilcox,0,0,0,0
2000,01133,AL,Winston,0,0,0,0
2000,02001,AK,District 1,0,0,0,0
2000,02002,AK,District 2,0,0,0,0
2000,02003,AK,District 3,0,0,0,0
2000,02004,AK,District 4,0,0,0,0
2000,02005,AK,District 5,0,0,0,0
2000,02006,AK,District 6,0,0,0,0
2000,02007,AK,District 7,0,0,0,0
2000,02008,AK,District 8,0,0,0,0
2000,02009,AK,District 9,0,0,0,0
2000,02010,AK,District 10,0,0,0,0
2000,02011,AK,District 11,0,0,0,0
2000,02012,AK,District 12,0,0,0,0
2000,02013,AK,District 13,0,0,0,0
2000,02014,AK,District 14,0,0,0,0
2000,02015,AK,District 15,0,0,0,0
2000,02016,AK,District 16,0,0,0,0
2000,02017,AK,District 17,0,0,0,0
2000,02018,AK,District 18,0,0,0,0
2000,02019,AK,District 19,0,0,0,0
2000,02020,AK,District 20,0,0,0,0
2000,02021,AK,District 21,0,0,0,0
2000,02022,AK,District 22,0,0,0,0
2000,02023,AK,District 23,0,0,0,0
2000,02024,AK,District 24,0,0,0,0
2000,02025,AK,District 25,0,0,0,0
2000,02026,AK,District 26,0,0,0,0
2000,02027,AK,District 27,0,0,0,0
2000,02028,AK,District 28,0,0,0,0
2000,02029,AK,District 29,0,0,0,0
2000,02030,AK,District 30,0,0,0,0
2000,02031,AK,District 31,0,0,0,0
2000,02032,AK,District 32,0,0,0,0
2000,02033,AK,District 33,0,0,0,0
2000,02034,AK,District 34,0,0,0,0
2000,02035,AK,District 35,0,0,0,0
2000,02036,AK,District 36,0,0,0,0
2000,02037,AK,District 37,0,0,0,0
2000,02038,AK,District 38,0,0,0,0
2000,02039,AK,District 39,0,0,0,0
2000,02040,AK,District 40,0,0,0,0
2000,04001,AZ,Apache,0,0,0,0
2000,04003,AZ,Cochise,0,0,0,0
2000,04005,AZ,Coconino,0,0,0,0
2000,04007,AZ,Gila,0,0,0,0
2000,04009,AZ,Graham,0,0,0,0
2000,04011,AZ,Greenlee,0,0,0,0
2000,04012,AZ,La Paz,0,0,0,0
2000,04013,AZ,Maricopa,0,0,0,0
2000,04015,AZ,Mohave,0,0,0,0
2000,04017,AZ,Navajo,0,0,0,0
2000,04019,AZ,Pima,0,0,0,0
2000,04021,AZ,Pinal,0,0,0,0
2000,04023,AZ,Santa Cruz,0,0,0,0
2000,04025,AZ,Yavapai,0,0,0,0
2000,04027,AZ,Yuma,0,0,0,0
2000,05001,AR,Arkansas,0,0,0,0
2000,05003,AR,Ashley,0,0,0,0
2000,05005,AR,Baxter,0,0,0,0
2000,05007,AR,Benton,0,0,0,0
2000,05009,AR,Boone,0,0,0,0
2000,05011,AR,Bradley,0,0,0,0
2000,05013,AR,Calhoun,0,0,0,0
2000,05015,AR,Carroll,0,0,0,0
2000,05017,AR,Chicot,0,0,0,0
2000,05019,AR,Clark,0,0,0,0
2000,05021,AR,Clay,0,0,0,0
2000,05023,AR,Cleburne,0,0,0,0
2000,05025,AR,Cleveland,0,0,0,0
2000,05027,AR,Columbia,0,0,0,0
2000,05029,AR,Conway,0,0,0,0
2000,05031,AR,Craighead,0,0,0,0
2000,05033,AR,Crawford,0,0,0,0
2000,05035,AR,Crittenden,0,0,0,0
2000,05037,AR,Cross,0,0,0,0
2000,05039,AR,Dallas,0,0,0,0
2000,05041,AR,Desha,0,0,0,0
2000,05043,AR,Drew,0,0,0,0
2000,05045,AR,Faulkner,0,0,0,0
2000,05047,AR,Franklin,0,0,0,0
2000,05049,AR,Fulton,0,0,0,0
2000,05051,AR,Garland,0,0,0,0
2000,05053,AR,Grant,0,0,0,0
2000,05055,AR,Greene,0,0,0,0
2000,05057,AR,Hempstead,0,0,0,0
2000,05059,AR,Hot Spring,0,0,0,0
2000,05061,AR,Howard,0,0,0,0
2000,05063,AR,Independence,0,0,0,0
2000,05065,AR,Izard,0,0,0,0
2000,05067,AR,Jackson,0,0,0,0
2000,05069,AR,Jefferson,0,0,0,0
2000,05071,AR,Johnson,0,0,0,0
2000,05073,AR,Lafayette,0,0,0,0
2000,05075,AR,Lawrence,0,0,0,0
2000,05077,AR,Lee,0,0,0,0
2000,05079,AR,Lincoln,0,0,0,0
2000,05081,AR,Little River,0,0,0,0
2000,05083,AR,Logan,0,0,0,0
2000,05085,AR,Lonoke,0,0,0,0
2000,05087,AR,Madison,0,0,0,0
2000,05089,AR,Marion,0,0,0,0
2000,05091,AR,Miller,0,0,0,0
2000,05093,AR,Mississippi,0,0,0,0
2000,05095,AR,Monroe,0,0,0,0
2000,05097,AR,Montgomery,0,0,0,0
2000,05099,AR,Nevada,0,0,0,0
2000,05101,AR,Newton,0,0,0,0
2000,05103,AR,Ouachita,0,0,0,0
2000,05105,AR,Perry,0,0,0,0
2000,05107,AR,Phillips,0,0,0,0
2000,05109,AR,Pike,0,0,0,0
2000,05111,AR,Poinsett,0,0,0,0
2000,05113,AR,Polk,0,0,0,0
2000,05115,AR,Pope,0,0,0,0
2000,05117,AR,Prairie,0,0,0,0
2000,05119,AR,Pulaski,0,0,0,0
2000,05121,AR,Randolph,0,0,0,0
2000,05123,AR,St. Francis,0,0,0,0
2000,05125,AR,Saline,0,0,0,0
2000,05127,AR,Scott,0,0,0,0
2000,05129,AR,Searcy,0,0,0,0
2000,05131,AR,Sebastian,0,0,0,0
2000,05133,AR,Sevier,0,0,0,0
2000,05135,AR,Sharp,0,0,0,0
2000,05137,AR,Stone,0,0,0,0
2000,05139,AR,Union,0,0,0,0
2000,05141,AR,Van Buren,0,0,0,0
2000,05143,AR,Washington,0,0,0,0
2000,05145,AR,White,0,0,0,0
2000,05147,AR,Woodruff,0,0,0,0
2000,05149,AR,Yell,0,0,0,0
2000,06001,CA,Alameda,0,0,0,0
2000,06003,CA,Alpine,0,0,0,0
2000,06005,CA,Amador,0,0,0,0
2000,06007,CA,Butte,0,0,0,0
2000,06009,CA,Calaveras,0,0,0,0
2000,06011,CA,Colusa,0,0,0,0
2000,06013,CA,Contra Costa,0,0,0,0
2000,06015,CA,Del Norte,0,0,0,0
2000,06017,CA,El Dorado,0,0,0,0
2000,06019,CA,Fresno,0,0,0,0
2000,06021,CA,Glenn,0,0,0,0
2000,06023,CA,Humboldt,0,0,0,0
2000,06025,CA,Imperial,0,0,0,0
2000,06027,CA,Inyo,0,0,0,0
2000,06029,CA,Kern,0,0,0,0
2000,06031,CA,Kings,0,0,0,0
2000,06033,CA,Lake,0,0,0,0
2000,06035,CA,Lassen,0,0,0,0
2000,06037,CA,Los Angeles,0,0,0,0
2000,06039,CA,Madera,0,0,0,0
2000,06041,CA,Marin,0,0,0,0
2000,06043,CA,Mariposa,0,0,0,0
2000,06045,CA,Mendocino,0,0,0,0
2000,06047,CA,Merced,0,0,0,0
