									2018 Outcome														2016 Outcome														2014 Outcome														2012 Outcome														2010 Outcome
2018										Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm
Index	FIPS	County	State	Index	CD	FIPS	County	State	Tot Vote	Dem Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.
1	01001	Autauga	AL	1	2	1001	Autauga	AL	19665	6221	31.60%	13400	68.10%	7179	36.50%	R	R2		ff9999	0.618	1	1.6	24117	7544	31.30%	14315	59.40%	6771	28.10%	R	R2		ff9999	0.618	1	1.6	13057	3019	23.10%	10020	76.70%	7001	53.60%	R	R3		ff7878	0.618	1	1.6	23476	6210	26.50%	17255	73.50%	11045	47.00%	R	R3		ff7878	0.618	1	1.6	17982	6326	35.20%	11627	64.70%	5301	29.50%	R	R2		ff9999	0.618	1	1.6
2	01003	Baldwin	AL	2	1	1003	Baldwin	AL	77829	17779	22.80%	59992	77.10%	42213	54.20%	R	R3		ff7878	0.618	2	2.6	78986	0	0.00%	76995	97.50%	75004	97.50%	R	R5		990000	0.618	2	2.6	46065	7291	15.80%	38685	84.00%	31394	68.20%	R	R4		ff0000	0.618	1	1.6	70236	0	0.00%	69161	98.50%	69161	98.50%	R	R5		990000	0.618	2	2.6	53255	0	0.00%	43047	80.80%	43047	80.80%	R	R5		990000	0.618	1	1.6
3	01005	Barbour	AL	3	2	1005	Barbour	AL	8354	4162	49.80%	4191	50.20%	29	0.30%	R	P		ff00ff	0.618	1	1.6	10046	5297	52.70%	4286	42.70%	1011	-10.10%	D	B1		cce5ff	0.618	1	1.6	6762	3398	50.30%	3363	49.70%	35	-0.50%	D	P		ff00ff	0.618	1	1.6	11169	5760	51.60%	5395	48.30%	365	-3.30%	D	B1		cce5ff	0.618	1	1.6	8159	4832	59.20%	3309	40.60%	1523	-18.70%	D	B1		cce5ff	0.618	1	1.6
4	01007	Bibb	AL	4	6	1007	Bibb	AL	6859	1559	22.70%	5299	77.30%	3740	54.50%	R	R3		ff7878	0.618	1	1.6	8656	1971	22.80%	6670	77.10%	4699	54.30%	R	R3		ff7878	0.618	1	1.6	4841	1122	23.20%	3713	76.70%	2591	53.50%	R	R3		ff7878	0.618	1	1.6	8272	2481	30.00%	5783	69.90%	3302	39.90%	R	R2		ff9999	0.618	1	1.6	5071	0	0.00%	4989	98.40%	4989	98.40%	R	R5		990000	0.618	1	1.6
5	01009	Blount	AL	5		1009	Blount	AL	19391	1957	10.10%	17420	89.80%	15463	79.70%	R	R5		990000	0.618	1	1.6	24804	2390	9.60%	22367	90.20%	19977	80.50%	R	R5		990000	0.618	1	1.6	13981	1573	11.30%	12390	88.60%	10817	77.40%	R	R4		ff0000	0.618	1	1.6	23311	4449	19.10%	18806	80.70%	14357	61.60%	R	R4		ff0000	0.618	1	1.6	14932	0	0.00%	14799	99.10%	14799	99.10%	R	R5		990000	0.618	1	1.6
6	01011	Bullock	AL	6	2	1011	Bullock	AL	3682	2830	76.90%	850	23.10%	1980	-53.80%	D	B3		6a5acd	0.618	1	1.6	4486	3517	78.40%	889	19.80%	2628	-58.60%	D	B3		6a5acd	0.618	1	1.6	3163	2391	75.60%	772	24.40%	1619	-51.20%	D	B3		6a5acd	0.618	1	1.6	5060	3817	75.40%	1243	24.60%	2574	-50.90%	D	B3		6a5acd	0.618	1	1.6	3859	2982	77.30%	877	22.70%	2105	-54.50%	D	B3		6a5acd	0.618	1	1.6
7	01013	Butler	AL	7	2	1013	Butler	AL	8112	3693	45.50%	4414	54.40%	721	8.90%	R	R1		ffcccc	0.618	1	1.6	8327	4088	49.10%	3918	47.10%	170	-2.00%	D	B1		cce5ff	0.618	1	1.6	5852	2454	41.90%	3396	58.00%	942	16.10%	R	R1		ffcccc	0.618	1	1.6	9317	4327	46.40%	4982	53.50%	655	7.00%	R	R1		ffcccc	0.618	1	1.6	7040	3878	55.10%	3153	44.80%	725	-10.30%	D	B1		cce5ff	0.618	1	1.6
8	01015	Calhoun	AL	8	3	1015	Calhoun	AL	36908	12178	33.00%	24695	66.90%	12517	33.90%	R	R2		ff9999	0.618	1	1.6	47250	14000	29.60%	33175	70.20%	19175	40.60%	R	R3		ff7878	0.618	1	1.6	26610	8263	31.10%	18306	68.80%	10043	37.70%	R	R2		ff9999	0.618	1	1.6	45457	14826	32.60%	30548	67.20%	15722	34.60%	R	R2		ff9999	0.618	1	1.6	33853	10296	30.40%	23513	69.50%	13217	39.00%	R	R2		ff9999	0.618	1	1.6
9	01017	Chambers	AL	9	3	1017	Chambers	AL	11309	4777	42.20%	6524	57.70%	1747	15.40%	R	R1		ffcccc	0.618	1	1.6	13719	5796	42.20%	7907	57.60%	2111	15.40%	R	R1		ffcccc	0.618	1	1.6	8209	3592	43.80%	4609	56.10%	1017	12.40%	R	R1		ffcccc	0.618	1	1.6	14282	6657	46.60%	7610	53.30%	953	6.70%	R	R1		ffcccc	0.618	1	1.6	10332	4664	45.10%	5665	54.80%	1001	9.70%	R	R1		ffcccc	0.618	1	1.6
10	01019	Cherokee	AL	10		1019	Cherokee	AL	8463	1364	16.10%	7092	83.80%	5728	67.70%	R	R4		ff0000	0.618	1	1.6	10421	1702	16.30%	8707	83.60%	7005	67.20%	R	R4		ff0000	0.618	1	1.6	6716	1392	20.70%	5314	79.10%	3922	58.40%	R	R3		ff7878	0.618	1	1.6	9502	2156	22.70%	7332	77.20%	5176	54.50%	R	R3		ff7878	0.618	1	1.6	7143	2009	28.10%	5128	71.80%	3119	43.70%	R	R3		ff7878	0.618	1	1.6
