,,,,,,,,,2018 Outcome,,,,,,,,,,,,,,2016 Outcome,,,,,,,,,,,,,,2014 Outcome,,,,,,,,,,,,,,2012 Outcome,,,,,,,,,,,,,,2010 Outcome,,,,,,,,,,,,,
2018,,,,,,,,,,Democrat,,Republican,,Margin of Victory,,,Base Color,,,Height in mm,,,,Democrat,,Republican,,Margin of Victory,,,Base Color,,,Height in mm,,,,Democrat,,Republican,,Margin of Victory,,,Base Color,,,Height in mm,,,,Democrat,,Republican,,Margin of Victory,,,Base Color,,,Height in mm,,,,Democrat,,Republican,,Margin of Victory,,,Base Color,,,Height in mm,,
Index,FIPS,County,State,Index,CD,FIPS,County,State,Tot Vote,Dem Votes,%,Rep Votes,%,Votes,% (R-D),Winner,Color,,Hex,Base,Z-# Votes,Total Ht.,Tot Vote,Votes,%,Rep Votes,%,Votes,% (R-D),Winner,Color,,Hex,Base,Z-# Votes,Total Ht.,Tot Vote,Votes,%,Rep Votes,%,Votes,% (R-D),Winner,Color,,Hex,Base,Z-# Votes,Total Ht.,Tot Vote,Votes,%,Rep Votes,%,Votes,% (R-D),Winner,Color,,Hex,Base,Z-# Votes,Total Ht.,Tot Vote,Votes,%,Rep Votes,%,Votes,% (R-D),Winner,Color,,Hex,Base,Z-# Votes,Total Ht.
1,1001,Autauga,AL,1,2,1001,Autauga,AL,"19,665","6,221",31.6%,"13,400",68.1%,"7,179",36.5%,R,R2,,ff9999,0.618,1,1.6,"24,117","7,544",31.3%,"14,315",59.4%,"6,771",28.1%,R,R2,,ff9999,0.618,1,1.6,"13,057","3,019",23.1%,"10,020",76.7%,"7,001",53.6%,R,R3,,ff7878,0.618,1,1.6,"23,476","6,210",26.5%,"17,255",73.5%,"11,045",47.0%,R,R3,,ff7878,0.618,1,1.6,"17,982","6,326",35.2%,"11,627",64.7%,"5,301",29.5%,R,R2,,ff9999,0.618,1,1.6
2,1003,Baldwin,AL,2,1,1003,Baldwin,AL,"77,829","17,779",22.8%,"59,992",77.1%,"42,213",54.2%,R,R3,,ff7878,0.618,2,2.6,"78,986",0,0.0%,"76,995",97.5%,"75,004",97.5%,R,R5,,990000,0.618,2,2.6,"46,065","7,291",15.8%,"38,685",84.0%,"31,394",68.2%,R,R4,,ff0000,0.618,1,1.6,"70,236",0,0.0%,"69,161",98.5%,"69,161",98.5%,R,R5,,990000,0.618,2,2.6,"53,255",0,0.0%,"43,047",80.8%,"43,047",80.8%,R,R5,,990000,0.618,1,1.6
3,1005,Barbour,AL,3,2,1005,Barbour,AL,"8,354","4,162",49.8%,"4,191",50.2%,29,0.3%,R,P,,ff00ff,0.618,1,1.6,"10,046","5,297",52.7%,"4,286",42.7%,"1,011",-10.1%,D,B1,,cce5ff,0.618,1,1.6,"6,762","3,398",50.3%,"3,363",49.7%,35,-0.5%,D,P,,ff00ff,0.618,1,1.6,"11,169","5,760",51.6%,"5,395",48.3%,365,-3.3%,D,B1,,cce5ff,0.618,1,1.6,"8,159","4,832",59.2%,"3,309",40.6%,"1,523",-18.7%,D,B1,,cce5ff,0.618,1,1.6
4,1007,Bibb,AL,4,6,1007,Bibb,AL,"6,859","1,559",22.7%,"5,299",77.3%,"3,740",54.5%,R,R3,,ff7878,0.618,1,1.6,"8,656","1,971",22.8%,"6,670",77.1%,"4,699",54.3%,R,R3,,ff7878,0.618,1,1.6,"4,841","1,122",23.2%,"3,713",76.7%,"2,591",53.5%,R,R3,,ff7878,0.618,1,1.6,"8,272","2,481",30.0%,"5,783",69.9%,"3,302",39.9%,R,R2,,ff9999,0.618,1,1.6,"5,071",0,0.0%,"4,989",98.4%,"4,989",98.4%,R,R5,,990000,0.618,1,1.6
5,1009,Blount,AL,5,,1009,Blount,AL,"19,391","1,957",10.1%,"17,420",89.8%,"15,463",79.7%,R,R5,,990000,0.618,1,1.6,"24,804","2,390",9.6%,"22,367",90.2%,"19,977",80.5%,R,R5,,990000,0.618,1,1.6,"13,981","1,573",11.3%,"12,390",88.6%,"10,817",77.4%,R,R4,,ff0000,0.618,1,1.6,"23,311","4,449",19.1%,"18,806",80.7%,"14,357",61.6%,R,R4,,ff0000,0.618,1,1.6,"14,932",0,0.0%,"14,799",99.1%,"14,799",99.1%,R,R5,,990000,0.618,1,1.6
6,1011,Bullock,AL,6,2,1011,Bullock,AL,"3,682","2,830",76.9%,850,23.1%,"1,980",-53.8%,D,B3,,6a5acd,0.618,1,1.6,"4,486","3,517",78.4%,889,19.8%,"2,628",-58.6%,D,B3,,6a5acd,0.618,1,1.6,"3,163","2,391",75.6%,772,24.4%,"1,619",-51.2%,D,B3,,6a5acd,0.618,1,1.6,"5,060","3,817",75.4%,"1,243",24.6%,"2,574",-50.9%,D,B3,,6a5acd,0.618,1,1.6,"3,859","2,982",77.3%,877,22.7%,"2,105",-54.5%,D,B3,,6a5acd,0.618,1,1.6
7,1013,Butler,AL,7,2,1013,Butler,AL,"8,112","3,693",45.5%,"4,414",54.4%,721,8.9%,R,R1,,ffcccc,0.618,1,1.6,"8,327","4,088",49.1%,"3,918",47.1%,170,-2.0%,D,B1,,cce5ff,0.618,1,1.6,"5,852","2,454",41.9%,"3,396",58.0%,942,16.1%,R,R1,,ffcccc,0.618,1,1.6,"9,317","4,327",46.4%,"4,982",53.5%,655,7.0%,R,R1,,ffcccc,0.618,1,1.6,"7,040","3,878",55.1%,"3,153",44.8%,725,-10.3%,D,B1,,cce5ff,0.618,1,1.6
8,1015,Calhoun,AL,8,3,1015,Calhoun,AL,"36,908","12,178",33.0%,"24,695",66.9%,"12,517",33.9%,R,R2,,ff9999,0.618,1,1.6,"47,250","14,000",29.6%,"33,175",70.2%,"19,175",40.6%,R,R3,,ff7878,0.618,1,1.6,"26,610","8,263",31.1%,"18,306",68.8%,"10,043",37.7%,R,R2,,ff9999,0.618,1,1.6,"45,457","14,826",32.6%,"30,548",67.2%,"15,722",34.6%,R,R2,,ff9999,0.618,1,1.6,"33,853","10,296",30.4%,"23,513",69.5%,"13,217",39.0%,R,R2,,ff9999,0.618,1,1.6
